target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	335.781	0	0
FBtr0300738	2350	2176.78	0	0
FBtr0300739	2172	1998.78	0	0
FBtr0300737	2184	2010.78	24	1.75824
FBtr0300736	2338	2164.78	0	0
FBtr0078628	2467	2293.78	0	0
FBtr0300740	2479	2305.78	0	0
FBtr0078627	2301	2127.78	0	0
FBtr0300741	2313	2139.78	0	0
FBtr0072762	889	715.781	350.455	72.1246
FBtr0346821	1270	1096.78	42.2073	5.66891
FBtr0331460	900	726.781	0	0
FBtr0303848	5005	4831.78	175.229	5.34234
FBtr0086122	1465	1291.78	6	0.684217
FBtr0335147	3125	2951.78	0	0
FBtr0081459	3019	2845.78	439.761	22.7639
FBtr0305321	6523	6349.78	40.0783	0.929783
FBtr0083716	5665	5491.78	770.922	20.679
FBtr0078184	1305	1131.78	5	0.650787
FBtr0081691	765	591.781	0	0
FBtr0085263	1228	1054.78	0.5	0.0698296
FBtr0086342	492	318.781	0	0
FBtr0086343	495	321.781	0	0
FBtr0091847	1023	849.781	3.35957	0.582382
FBtr0072393	1393	1219.78	115.143	13.9055
FBtr0343502	867	693.781	0	0
FBtr0343753	3569	3395.78	71.9133	3.11962
FBtr0433525	3725	3551.78	0	0
FBtr0113895	961	787.781	149.04	27.8694
FBtr0345179	887	713.781	308.96	63.7631
FBtr0334135	4703	4529.78	0	0
FBtr0334137	4561	4387.78	8.37586	0.2812
FBtr0334141	5321	5147.78	0	0
FBtr0334139	4203	4029.78	0	0
FBtr0334140	5704	5530.78	0	0
FBtr0344148	4894	4720.78	0	0
FBtr0334142	5071	4897.78	0	0
FBtr0334138	5563	5389.78	0	0
FBtr0334136	3862	3688.78	84.6241	3.37943
FBtr0085105	995	821.781	57	10.2176
FBtr0346720	2745	2571.78	0	0
FBtr0076089	442	268.781	0	0
FBtr0087500	1417	1243.78	112	13.265
FBtr0073094	1694	1520.78	74.1373	7.18128
FBtr0073093	1577	1403.78	705.863	74.0717
FBtr0343515	1092	918.781	0	0
FBtr0072451	975	801.781	50	9.18641
FBtr0071607	2252	2078.78	39	2.76368
FBtr0081516	4704	4530.78	3	0.0975394
FBtr0300749	931	757.781	6.15318	1.19616
FBtr0346532	1185	1011.78	3.31732	0.482983
FBtr0073076	880	706.781	340.53	70.9743
FBtr0089289	4677	4503.78	106.918	3.49709
FBtr0100448	4590	4416.78	21.2483	0.708679
FBtr0089290	4681	4507.78	0.00610695	0.000199569
FBtr0089288	4037	3863.78	303.111	11.5563
FBtr0100447	4417	4243.78	62.4985	2.16944
FBtr0329933	4663	4489.78	0.821195	0.0269434
FBtr0336949	2826	2652.78	359.397	19.9574
FBtr0088786	1378	1204.78	634.574	77.59
FBtr0088785	1869	1695.78	206.426	17.9319
FBtr0303077	607	433.781	0	0
FBtr0339716	615	441.781	0	0
FBtr0085459	600	426.781	209	72.1394
FBtr0070973	1218	1044.78	5	0.704979
FBtr0089252	2767	2593.78	69.3026	3.93594
FBtr0334488	2840	2666.78	20.2634	1.11932
FBtr0334489	2902	2728.78	20.2132	1.09118
FBtr0100600	3804	3630.78	76.2208	3.09247
FBtr0300305	309	135.808	0	0
FBtr0077162	567	393.781	0	0
FBtr0072277	713	539.781	214	58.402
FBtr0344898	1082	908.781	0	0
FBtr0086817	1175	1001.78	0	0
FBtr0333271	5146	4972.78	0	0
FBtr0072639	5149	4975.78	54	1.59869
FBtr0340000	824	650.781	9.83615	2.22649
FBtr0087390	427	253.808	174.164	101.084
FBtr0070472	3021	2847.78	2.46965	0.12775
FBtr0331752	4499	4325.78	547.402	18.6412
FBtr0070475	3174	3000.78	137.688	6.75915
FBtr0070474	3218	3044.78	40.7299	1.97055
FBtr0302185	2166	1992.78	6.11134	0.451761
FBtr0070471	4805	4631.78	235.181	7.47973
FBtr0112828	2903	2729.78	91.2252	4.92287
FBtr0301966	3182	3008.78	35.7117	1.74844
FBtr0070468	3055	2881.78	264.689	13.5303
FBtr0070476	2745	2571.78	0	0
FBtr0070470	3110	2936.78	0	0
FBtr0331751	4750	4576.78	18.7129	0.6023
FBtr0070469	4244	4070.78	376.573	13.6271
FBtr0070467	2929	2755.78	0	0
FBtr0331753	5004	4830.78	16.7537	0.510889
FBtr0070466	2847	2673.78	84.2106	4.63952
FBtr0070473	3091	2917.78	0	0
FBtr0076265	1575	1401.78	484	50.8624
FBtr0331935	1030	856.781	0	0
FBtr0088237	816	642.781	396	90.7535
FBtr0081705	1363	1189.78	0	0
FBtr0088524	1299	1125.78	669	87.5394
FBtr0074540	843	669.781	119	26.1725
FBtr0074494	1357	1183.78	5	0.6222
FBtr0085714	3349	3175.78	2776.12	128.771
FBtr0085713	3440	3266.78	19291.9	869.933
FBtr0076256	334	160.808	2	1.83212
