transcript	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	0	0	0	8.70952	0	0
FBtr0300739	0	0	27.9824	0	5.60741	38.9643
FBtr0300737	0	24	0.0176366	24.855	0	0.0357235
FBtr0300736	0	0	0	0	2.54991	0
FBtr0078628	0	0	0	0	5.27307	0
FBtr0300740	0	0	0	9.06903	0	0
FBtr0078627	38.957	0	0	0	11.5696	0
FBtr0300741	0.0430278	0	0	24.3664	0	0
FBtr0072762	238.339	350.455	431.178	294.33	271.571	352.237
FBtr0346821	525.661	42.2073	32.0362	595.91	20.7246	33.3073
FBtr0331460	0	0	0	18.7602	8.93224	0
FBtr0303848	325.572	175.229	161.132	341.853	138.127	120.379
FBtr0086122	12	6	7	23	4	9
FBtr0335147	303.642	0	0	193.226	0	0
FBtr0081459	722.358	439.761	509.537	1056.77	462.011	478.827
FBtr0305321	96.8202	40.0783	58.7629	141.288	25.8676	0
FBtr0083716	1616.18	770.922	818.237	1600.71	757.132	637
FBtr0078184	7	5	7	10	1	3
FBtr0081691	0	0	0	0	0	0
FBtr0085263	1	0.5	0	1.5	0	1
FBtr0086342	0	0	0	0.999998	0	0
FBtr0086343	0	0	0	2.19577e-6	0	0
FBtr0091847	25.2535	3.35957	5.41569	12.9551	5.21998	4.31719
FBtr0072393	186.137	115.143	134.694	1239	626.609	683.551
FBtr0343502	10.8631	0	0	0	0	0
FBtr0343753	198.758	71.9133	93.566	161.63	71.9986	97.6931
FBtr0433525	0	0	0	0	0	0
FBtr0113895	1626.97	149.04	157.983	1528	63.5176	128.152
FBtr0345179	350.027	308.96	287.017	1.90912e-8	311.482	286.848
FBtr0334135	17.0961	0	0	0	0	0
FBtr0334137	21.2059	8.37586	14.5317	41.339	18.5327	20.2536
FBtr0334141	0	0	0	0	0	0
FBtr0334139	0	0	0	0	0	0
FBtr0334140	0	0	0	0	0	0
FBtr0344148	0	0	0	0	0	0
FBtr0334142	0	0	0	0	0	0
FBtr0334138	0	0	0	0	0	0
FBtr0334136	137.698	84.6241	94.4683	176.661	89.4673	107.604
FBtr0085105	119	57	64	53	17	24
FBtr0346720	0	0	0	0	0	0
FBtr0076089	0	0	0	0	0	0
FBtr0087500	255	112	117	273	100	81
FBtr0073094	674.567	74.1373	83.285	563.745	120.935	71.0758
FBtr0073093	876.433	705.863	893.715	1131.26	753.065	833.924
FBtr0343515	19.2487	0	0	45.3797	0	0
FBtr0072451	169.751	50	69	155.62	69	54
FBtr0071607	78	39	59	94	37	45
FBtr0081516	26	3	6	18	5	3
FBtr0300749	0	6.15318	18.489	46.4579	23.0993	16.5391
FBtr0346532	80.8197	3.31732	3.28978	54.9574	0	0
FBtr0073076	750.18	340.53	362.221	708.585	335.901	326.461
FBtr0089289	119.153	106.918	12.5314	139.599	13.8802	14.2061
FBtr0100448	213.367	21.2483	15.9694	23.195	64.8015	57.5909
FBtr0089290	404.709	0.00610695	4.23926e-5	272.614	0.381357	0.520428
FBtr0089288	1044.83	303.111	400.804	1272.94	408.179	261.97
FBtr0100447	7.60957	62.4985	95.1932	0	32.502	41.3774
FBtr0329933	196.277	0.821195	0.00175031	1.09613	70.1402	56.0128
FBtr0336949	59.3853	359.397	500.513	192.756	375.116	376.323
FBtr0088786	421.998	634.574	810.371	901.127	635.089	625.625
FBtr0088785	1816.51	206.426	167.522	1764.72	157.687	184.805
FBtr0303077	1	0	0	0	0	0
FBtr0339716	143.257	0	0	83.8669	0	0
FBtr0085459	389.743	209	266	409.133	167	211
FBtr0070973	12	5	11	7	2	1
FBtr0089252	122.296	69.3026	85.0826	128.798	92.8638	55.0087
FBtr0334488	5.68707e-6	20.2634	25.713	64.7733	0	0
