target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	331.383	0	0
FBtr0300738	2350	2172.38	0	0
FBtr0300739	2172	1994.38	5.60741	0.438633
FBtr0300737	2184	2006.38	0	0
FBtr0300736	2338	2160.38	2.54991	0.184137
FBtr0078628	2467	2289.38	5.27307	0.359329
FBtr0300740	2479	2301.38	0	0
FBtr0078627	2301	2123.38	11.5696	0.850037
FBtr0300741	2313	2135.38	0	0
FBtr0072762	889	711.383	271.571	59.5563
FBtr0346821	1270	1092.38	20.7246	2.95978
FBtr0331460	900	722.383	8.93224	1.92904
FBtr0303848	5005	4827.38	138.127	4.46389
FBtr0086122	1465	1287.38	4	0.48473
FBtr0335147	3125	2947.38	0	0
FBtr0081459	3019	2841.38	462.011	25.3671
FBtr0305321	6523	6345.38	25.8676	0.635984
FBtr0083716	5665	5487.38	757.132	21.5255
FBtr0078184	1305	1127.38	1	0.138381
FBtr0081691	765	587.383	0	0
FBtr0085263	1228	1050.38	0	0
FBtr0086342	492	314.383	0	0
FBtr0086343	495	317.383	0	0
FBtr0091847	1023	845.383	5.21998	0.963302
FBtr0072393	1393	1215.38	626.609	80.4324
FBtr0343502	867	689.383	0	0
FBtr0343753	3569	3391.38	71.9986	3.31203
FBtr0433525	3725	3547.38	0	0
FBtr0113895	961	783.383	63.5176	12.6493
FBtr0345179	887	709.383	311.482	68.5015
FBtr0334135	4703	4525.38	0	0
FBtr0334137	4561	4383.38	18.5327	0.659593
FBtr0334141	5321	5143.38	0	0
FBtr0334139	4203	4025.38	0	0
FBtr0334140	5704	5526.38	0	0
FBtr0344148	4894	4716.38	0	0
FBtr0334142	5071	4893.38	0	0
FBtr0334138	5563	5385.38	0	0
FBtr0334136	3862	3684.38	89.4673	3.78833
FBtr0085105	995	817.383	17	3.24467
FBtr0346720	2745	2567.38	0	0
FBtr0076089	442	264.41	0	0
FBtr0087500	1417	1239.38	100	12.5876
FBtr0073094	1694	1516.38	120.935	12.442
FBtr0073093	1577	1399.38	753.065	83.9544
FBtr0343515	1092	914.383	0	0
FBtr0072451	975	797.383	69	13.4999
FBtr0071607	2252	2074.38	37	2.78266
FBtr0081516	4704	4526.38	5	0.172332
FBtr0300749	931	753.383	23.0993	4.78334
FBtr0346532	1185	1007.38	0	0
FBtr0073076	880	702.383	335.901	74.6078
FBtr0089289	4677	4499.38	13.8802	0.48127
FBtr0100448	4590	4412.38	64.8015	2.29118
FBtr0089290	4681	4503.38	0.381357	0.0132111
FBtr0089288	4037	3859.38	408.179	16.4998
FBtr0100447	4417	4239.38	32.502	1.19607
FBtr0329933	4663	4485.38	70.1402	2.43958
FBtr0336949	2826	2648.38	375.116	22.097
FBtr0088786	1378	1200.38	635.089	82.5396
FBtr0088785	1869	1691.38	157.687	14.5446
FBtr0303077	607	429.383	0	0
FBtr0339716	615	437.383	0	0
FBtr0085459	600	422.383	167	61.6819
FBtr0070973	1218	1040.38	2	0.299905
FBtr0089252	2767	2589.38	92.8638	5.59497
FBtr0334488	2840	2662.38	0	0
FBtr0334489	2902	2724.38	20.1806	1.15562
FBtr0100600	3804	3626.38	66.9556	2.88045
FBtr0300305	309	131.43	0	0
FBtr0077162	567	389.383	0	0
FBtr0072277	713	535.383	190	55.3651
FBtr0344898	1082	904.383	0	0
FBtr0086817	1175	997.383	0	0
FBtr0333271	5146	4968.38	23.3566	0.733401
FBtr0072639	5149	4971.38	10.6434	0.334005
FBtr0340000	824	646.383	6.51312	1.57198
FBtr0087390	427	249.41	463.487	289.915
FBtr0070472	3021	2843.38	0.0272162	0.00149327
FBtr0331752	4499	4321.38	825.841	29.8141
FBtr0070475	3174	2996.38	146.963	7.65171
FBtr0070474	3218	3040.38	3.85588	0.197853
FBtr0302185	2166	1988.38	18.9929	1.49018
FBtr0070471	4805	4627.38	263.198	8.87351
FBtr0112828	2903	2725.38	127.033	7.27173
FBtr0301966	3182	3004.38	22.4611	1.16633
FBtr0070468	3055	2877.38	377.461	20.4655
FBtr0070476	2745	2567.38	0	0
FBtr0070470	3110	2932.38	0	0
FBtr0331751	4750	4572.38	8.00427	0.273103
FBtr0070469	4244	4066.38	450.437	17.2812
FBtr0070467	2929	2751.38	0	0
FBtr0331753	5004	4826.38	38.7293	1.25189
FBtr0070466	2847	2669.38	0.98102	0.0573343
FBtr0070473	3091	2913.38	0	0
FBtr0076265	1575	1397.38	524	58.501
FBtr0331935	1030	852.383	0	0
FBtr0088237	816	638.383	360	87.9769
FBtr0081705	1363	1185.38	0	0
FBtr0088524	1299	1121.38	535	74.4299
FBtr0074540	843	665.383	103	24.1498
FBtr0074494	1357	1179.38	3	0.396839
FBtr0085714	3349	3171.38	2515.2	123.729
FBtr0085713	3440	3262.38	24674.7	1179.95
FBtr0076256	334	156.43	2	1.99461
FBtr0339552	1718	1540.38	108.243	10.9627
FBtr0078950	1533	1355.38	277.757	31.9706
FBtr0070990	1321	1143.38	7.51745	1.02571
FBtr0100409	805	627.383	0	0
FBtr0343330	706	528.383	332.526	98.1803
FBtr0304902	1617	1439.38	1	0.108385
FBtr0304901	2286	2108.38	0	0
FBtr0078872	1228	1050.38	0	0
FBtr0077839	2112	1934.38	132.16	10.6587
FBtr0077837	2331	2153.38	18.7737	1.36012
FBtr0077838	2235	2057.38	110.009	8.34183
FBtr0077836	2325	2147.38	237.057	17.2223
FBtr0075133	4018	3840.38	8.40346	0.341375
FBtr0332862	2190	2012.38	99.5965	7.72113
FBtr0087988	1754	1576.38	1759.54	174.134
FBtr0087987	1948	1770.38	3878.42	341.771
FBtr0074688	1633	1455.38	467	50.0596
FBtr0086864	3503	3325.38	268	12.5731
FBtr0083361	1283	1105.38	0	0
FBtr0392904	4164	3986.38	179.807	7.0368
FBtr0084588	2385	2207.38	960.849	67.9086
FBtr0303161	2639	2461.38	613.204	38.8663
FBtr0079257	1918	1740.38	219	19.6312
FBtr0307341	906	728.383	0	0
FBtr0084989	527	349.383	1.82646	0.815561
FBtr0306309	750	572.383	1	0.272559
FBtr0344570	539	361.383	0	0
FBtr0078090	1219	1041.38	251	37.602
FBtr0087439	546	368.383	51	21.5982
FBtr0070960	2096	1918.38	6	0.487937
FBtr0302357	2296	2118.38	0	0
FBtr0302356	2428	2250.38	0	0
FBtr0340571	3830	3652.38	0	0
FBtr0340572	3825	3647.38	0	0
FBtr0080267	3305	3127.38	0	0
FBtr0077141	787	609.383	0	0
FBtr0306593	981	803.383	0	0
FBtr0081719	1938	1760.38	764	67.707
FBtr0071549	1655	1477.38	289	30.5177
FBtr0308832	1068	890.383	52.6966	9.23322
FBtr0308833	2043	1865.38	401.992	33.62
FBtr0074921	2263	2085.38	85.3111	6.38216
FBtr0073011	1996	1818.38	2	0.17159
FBtr0112378	450	272.383	0	0
FBtr0342602	1596	1418.38	0	0
FBtr0080326	1217	1039.38	544	81.6527
FBtr0085405	675	497.383	603	189.136
FBtr0339295	331	153.43	0	0
FBtr0300316	205	33.2694	0	0
FBtr0300904	2130	1952.38	0	0
FBtr0081633	2196	2018.38	0	0
FBtr0300905	2052	1874.38	0	0
FBtr0335279	1234	1056.38	0	0
FBtr0335281	1199	1021.38	2	0.305484
FBtr0290216	733	555.383	0	0
