Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/15/2023,40033,7,Cotton County,OK,93.8,3448,60.9,3448,64.4,3385,69.7,3204,72.6,1118,95,2919,51.5,2919,54.5,205,21.8,2871,59.1,2714,61.5,969,83.3,1206,41.3,1206,41.3,1196,41.7,1173,43.2,945,52.1,598,61.7,400,42.3,302,50.5,C,10,10,9,10,10,12,Metro,2,2,1,2,2,4,11,11,11,10,3,3,3,2,5666,5352,941,4855,4411,1163,483,9,476,9.8,464,10.5,308,26.5
02/15/2023,02020,7,Anchorage Municipality,AK,97.4,229725,79.8,226867,84.6,215544,89.5,199723,91.3,36229,95,204422,71,202837,75.7,24064,48.9,193034,80.2,178773,81.7,32831,95,102797,50.3,102779,50.7,99876,51.7,94298,52.7,52220,68.3,25629,78.1,28789,55.1,16328,63.7,C,11,11,11,12,12,12,Metro,3,3,3,4,4,4,12,12,12,11,4,4,4,3,288000,268042,49240,240774,218802,33757,43589,16.3,42117,17.5,40118,18.3,15328,45.4
02/15/2023,18147,7,Spencer County,IN,98.5,10426,51.4,10400,54.2,10163,58.1,9650,60.7,3306,81.6,9480,46.8,9471,49.3,664,20.1,9266,53,8807,55.4,3083,76.1,4840,51.1,4839,51.1,4792,51.7,4657,52.9,3602,62.1,2197,71.3,1739,48.3,1251,56.9,A,1,1,1,2,2,3,Non-metro,5,5,5,6,6,7,4,4,4,3,8,8,8,7,20277,19201,3311,17483,15890,4052,1931,10.1,1918,11,1871,11.8,1197,29.5
02/15/2023,46007,7,Bennett County,SD,96.7,2794,83,2751,90,2418,93.2,2072,93,437,95,2295,68.2,2292,75,518,62.6,2057,79.3,1774,79.6,379,84.8,728,31.7,728,31.8,714,34.7,680,38.3,457,56.9,250,66,169,37,107,42.8,D,15,15,16,15,15,16,Non-metro,7,7,8,7,7,8,14,14,14,15,6,6,6,7,3365,3056,827,2595,2229,447,268,8.8,264,10.2,249,11.2,107,23.9
02/15/2023,51021,7,Bland County,VA,78.2,2941,46.8,2940,48.7,2930,51.4,2837,53.1,1086,73.2,2546,40.5,2546,42.2,67,9.6,2538,44.5,2479,46.4,987,66.5,381,15,381,15,379,14.9,377,15.2,295,17.5,203,20.6,141,47.8,103,50.7,A,1,1,1,1,1,3,Non-metro,5,5,5,5,5,7,1,1,1,1,5,5,5,5,6280,6036,695,5704,5341,1484,191,3.2,190,3.3,190,3.6,137,9.2
02/15/2023,41043,7,Linn County,OR,97.7,81582,62.9,81225,66.6,78669,71,74089,73.5,22930,92.7,74176,57.2,74048,60.7,6090,28.9,72065,65.1,67958,67.4,21419,86.6,41054,55.3,41051,55.4,40593,56.3,39133,57.6,26709,69.2,16566,77.3,15202,56.9,10602,64,C,10,10,9,11,11,12,Metro,2,2,1,3,3,4,12,12,12,11,4,4,4,3,129749,121951,21098,110760,100853,24742,17883,14.7,17598,15.9,17182,17,9114,36.8
02/15/2023,51015,7,Augusta County,VA,78.2,42417,56.1,42284,58.4,41448,62,39393,64,13754,83.2,37664,49.8,37564,51.9,2484,23,36837,55.1,35080,57,12347,74.6,12313,32.7,12308,32.8,12186,33.1,11837,33.7,8835,39.1,5329,43.2,4841,54.8,3354,62.9,A,1,2,1,2,2,3,Metro,1,2,1,2,2,3,2,2,2,1,2,2,2,1,75558,72359,10809,66876,61550,16541,5967,8.2,5915,8.8,5816,9.4,3462,20.9
02/15/2023,48329,7,Midland County,TX,98.9,91336,51.7,91094,56.5,88170,62.5,81863,64.8,15617,84.7,77984,44.1,77964,48.3,7149,20.4,75748,53.7,70815,56.1,14173,76.9,24381,31.3,24381,31.3,24169,31.9,23696,33.5,15363,47.5,8308,58.6,5702,37.1,3729,44.9,C,9,9,9,10,10,11,Metro,1,1,1,2,2,3,10,10,10,10,2,2,2,2,176832,161367,35039,141069,126328,18438,7553,4.7,7477,5.3,7289,5.8,3547,19.2
02/15/2023,39069,7,Henry County,OH,98.6,15478,57.3,15435,60.8,15026,65.4,14169,68.3,4918,95,14937,55.3,14906,58.7,1189,25.6,14530,63.2,13717,66.1,4796,92.8,8650,57.9,8650,58,8570,59,8366,61,6384,72.7,3905,81.4,3381,53,2405,61.6,A,2,2,1,2,3,4,Non-metro,6,6,5,6,7,8,4,4,4,4,8,8,8,8,27006,25407,4649,22980,20758,5167,3685,14.5,3654,15.9,3595,17.3,2204,42.7
02/15/2023,12045,7,Gulf County,FL,98.6,8412,61.7,8405,64.7,8332,69.6,8070,72.4,3260,90.2,7374,54.1,7372,56.7,298,16.1,7307,61,7074,63.5,3058,84.6,3030,41.1,3030,41.1,3028,41.4,3001,42.4,2625,50.8,1803,59,1126,42.9,870,48.3,C,10,10,9,10,10,12,Metro,2,2,1,2,2,4,11,11,11,10,3,3,3,2,13639,12994,1847,11974,11147,3614,1065,8.2,1063,8.9,1058,9.5,739,20.4
